2012,2011,ADVERTISER,HEADQUARTERS,2012,2011,%_CHG,ESTIMATED UNMEASURED,MEASURED MEDIA,MAGAZINE,NEWSPAPER,OUTDOOR,TV,RADIO,INTERNET DISPLAY
83,77,Visa,"Foster City, Calif.",480.2,486.2,-1.2,313.6,166.6,1.1,0.4,0,149.7,3.6,11.8
84,80,Reckitt Benckiser Group,"Slough, Berkshire, U.K.",473.7,470.5,0.7,0,473.7,97.6,35.2,0,319.3,7.9,13.8
85,89,Hyundai Motor Co.,Seoul,472.1,426,10.8,182.1,290,34.7,4.1,1.2,214,3.2,32.8
86,98,Daimler,"Stuttgart, Germany",471.2,388.3,21.3,172.7,298.5,18.1,8.5,2.6,228.8,21.2,19.4
87,62,Bristol-Myers Squibb Co.,New York,469.7,632.4,-25.7,277.2,192.4,54.7,0,0.1,131.8,0.7,5.1
88,110,Dish Network Corp.,"Englewood, Colo.",469.4,364,28.9,100.6,368.9,47.2,14.5,4.7,257.4,30.8,14.3
89,79,IBM Corp.,"Armonk, N.Y.",464.7,475.7,-2.3,324.2,140.5,38.7,6.9,6.5,58.6,3.3,26.5
90,82,Campbell Soup Co.,"Camden, N.J.",430,466.2,-7.8,0,430,156.4,31.3,0,233.7,0.9,7.8
91,93,Dr Pepper Snapple Group,"Plano, Texas",428.5,408.6,4.9,208.5,220,11.7,5,9.4,172.7,15.4,5.7
92,91,Safeway,"Pleasanton, Calif.",422,415.8,1.5,272,150,1.7,24.5,1,32,85.4,5.3
93,131,Lions Gate Entertainment Corp.,"Santa Monica, Calif.",418.4,292.5,43.1,31.1,387.3,12.2,32.2,12,294,14,22.8
94,86,L Brands 6,"Columbus, Ohio",413.4,430.9,-4.1,349.8,63.6,1.7,0,0.1,60,0.1,1.6
95,90,Dell,"Round Rock, Texas",413,421.3,-2,217.3,195.7,28.2,16.2,1.1,112.9,0.4,36.8
96,92,Hewlett-Packard Co.,"Palo Alto, Calif.",408.7,408.7,0,170.5,238.3,25.4,51.5,2.1,117.3,5.8,36.2
97,118,Kimberly-Clark Corp.,"Irving, Texas",404.3,344.3,17.4,49.4,354.9,75.7,50.3,0,209,1,18.8
98,96,Mattel,"El Segundo, Calif.",403.6,399.6,1,236.6,167,26.1,3.9,0.1,128.9,2,6.1
99,101,CVS Caremark Corp.,"Woonsocket, R.I.",402.6,380.7,5.7,283.6,119,7.7,53.1,0.5,52.2,1.9,3.6
100,129,Coty,New York,398.3,318.7,25,109.6,288.6,238.7,2.8,0.2,45,0,1.8
